,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
11211,65000.0,80.0,3.0,0,False,False,0,9.39,0,0,2.99,0,0,False,0,0,0,1,0,0,0,True,0,0,1,False,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11212,65000.0,82.1,3.0,0,False,False,0,9.27,0,0,3.0,0,0,False,0,0,0,0,0,0,0,False,0,1,1,True,1,0,0,0,0,1,0,True,1,0,1,0,0,0
11213,65000.0,58.0,2.0,0,False,False,0,10.2,0,0,2.99,0,0,True,0,0,0,0,1,0,0,False,0,1,0,True,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11214,65000.0,75.0,3.0,0,False,False,0,9.46,0,0,2.99,0,0,False,1,0,0,0,1,0,0,False,0,0,0,False,0,0,0,0,0,0,1,True,0,0,0,0,0,0
11215,65000.0,70.0,2.0,0,True,False,0,9.46,0,0,2.99,0,0,False,0,0,0,0,0,0,0,False,0,1,1,False,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11216,68000.0,80.0,3.0,0,False,False,0,9.41,0,0,3.0,0,0,False,0,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11217,70000.0,56.7,2.0,0,True,False,0,9.43,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,1,False,0,0,1,0,0,0
11218,70000.0,86.0,3.0,0,True,True,0,9.73,0,1,2.75,0,0,False,0,0,0,0,1,0,0,False,0,1,0,False,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11219,70000.0,92.0,3.0,0,False,False,0,9.42,0,0,2.7,0,0,False,1,0,0,0,0,0,0,False,0,0,1,False,0,0,1,0,0,0,0,True,0,0,0,0,0,0
11220,70000.0,76.2,3.0,0,False,False,0,9.06,0,0,3.0,0,0,True,0,0,0,0,1,0,0,False,0,0,0,True,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11221,75000.0,45.0,2.0,0,False,False,0,10.31,0,1,2.64,0,0,True,0,0,0,0,1,0,0,False,0,0,0,False,0,0,0,0,0,1,0,False,1,0,0,0,0,0
11222,75000.0,79.4,3.0,0,False,False,0,9.06,0,0,2.99,0,0,False,1,0,0,0,0,0,0,False,0,0,1,True,1,0,0,0,0,0,1,True,0,0,1,0,0,0
11223,80000.0,65.0,2.0,0,True,True,0,9.86,0,0,2.99,0,1,True,0,0,0,0,1,0,1,False,0,1,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,1
11224,80000.0,74.0,3.0,0,True,False,0,30.19,0,0,3.0,0,0,True,0,0,0,0,0,0,0,False,0,0,1,False,0,0,0,0,0,0,1,False,0,0,1,0,0,0
